product_name,series,mae_before,mae_after,mape_before,mape_after,improved
Antibiotics,Total,296.83,296.83,8086.27,8086.27,False
Antibiotics,Midwest,108.76,108.76,6049.57,6049.57,False
Antibiotics,Northeast,152.58,152.58,7519.08,7519.08,False
Antibiotics,Southeast,109.0,109.0,4451.98,4451.98,False
Antibiotics,Southwest,55.21,55.21,21.11,21.11,False
Antibiotics,West,134.98,134.98,7621.21,7621.21,False
Antibiotics,STORE_001,37.37,37.37,2727.04,2727.04,False
Antibiotics,STORE_002,51.76,51.76,3337.84,3337.84,False
Antibiotics,STORE_003,44.25,44.25,3663.08,3663.08,False
Antibiotics,STORE_004,16.38,16.38,6.67,6.67,False
Antibiotics,STORE_005,5.96,5.96,4.44,4.44,False
Antibiotics,STORE_006,2.96,2.96,2.22,2.22,False
Antibiotics,STORE_007,5.42,5.42,3.33,3.33,False
Antibiotics,STORE_008,32.75,32.75,2700.67,2700.67,False
Antibiotics,STORE_009,35.13,35.13,3188.63,3188.63,False
Antibiotics,STORE_010,0.99,0.99,2.22,2.22,False
Antibiotics,STORE_011,13.94,13.94,7.78,7.78,False
Antibiotics,STORE_012,1.73,1.73,1.11,1.11,False
Antibiotics,STORE_013,5.06,5.06,1.11,1.11,False
Antibiotics,STORE_014,9.29,9.29,5.56,5.56,False
Antibiotics,STORE_015,6.9,6.9,2.22,2.22,False
Antibiotics,STORE_016,3.89,3.89,3.33,3.33,False
Antibiotics,STORE_017,80.53,80.53,7358.67,7358.67,False
Antibiotics,STORE_018,11.51,11.51,3.33,3.33,False
Antibiotics,STORE_019,18.66,18.66,749.64,749.64,False
Antibiotics,STORE_020,15.63,15.63,3.33,3.33,False
Antibiotics,STORE_021,5.26,5.26,3.33,3.33,False
Antibiotics,STORE_022,6.92,6.92,3.33,3.33,False
Antibiotics,STORE_023,4.12,4.12,1.11,1.11,False
Antibiotics,STORE_024,13.69,13.69,4.44,4.44,False
Antibiotics,STORE_025,10.07,10.07,3.33,3.33,False
Antibiotics,STORE_026,9.94,9.94,4.44,4.44,False
Antibiotics,STORE_027,10.69,10.69,3.33,3.33,False
Antibiotics,STORE_028,20.4,20.4,815.26,815.26,False
Antibiotics,STORE_029,35.14,35.14,2690.96,2690.96,False
Antibiotics,STORE_030,4.16,4.16,2.22,2.22,False
Antibiotics,STORE_031,13.74,13.74,5.56,5.56,False
Antibiotics,STORE_032,1.18,1.18,1.11,1.11,False
Antibiotics,STORE_033,41.08,41.08,3453.66,3453.66,False
Antibiotics,STORE_034,11.1,11.1,3.33,3.33,False
Antibiotics,STORE_035,42.38,42.38,3986.17,3986.17,False
Antibiotics,STORE_036,26.91,26.91,2123.81,2123.81,False
Antibiotics,STORE_037,2.09,2.09,1.11,1.11,False
Antibiotics,STORE_038,5.71,5.71,3.33,3.33,False
Antibiotics,STORE_039,5.94,5.94,4.44,4.44,False
Antibiotics,STORE_040,8.88,8.88,4.44,4.44,False
Antibiotics,STORE_041,6.87,6.87,3.33,3.33,False
Antibiotics,STORE_042,4.58,4.58,3.33,3.33,False
Antibiotics,STORE_043,9.29,9.29,3.33,3.33,False
Antibiotics,STORE_044,16.2,16.2,4.44,4.44,False
Antibiotics,STORE_045,8.67,8.67,3.33,3.33,False
Antibiotics,STORE_046,7.68,7.68,2.22,2.22,False
Antibiotics,STORE_047,10.59,10.59,4.44,4.44,False
Antibiotics,STORE_048,8.54,8.54,3.33,3.33,False
Antibiotics,STORE_049,5.84,5.84,2.22,2.22,False
Antibiotics,STORE_050,12.36,12.36,3.33,3.33,False
Apples,Total,279.84,279.84,6399.77,6399.77,False
Apples,Midwest,132.5,132.5,8580.26,8580.26,False
Apples,Northeast,108.47,108.47,2516.27,2516.27,False
Apples,Southeast,113.92,113.92,5034.96,5034.96,False
Apples,Southwest,95.39,95.39,5864.07,5864.07,False
Apples,West,123.37,123.37,6817.81,6817.81,False
Apples,STORE_001,11.88,11.88,5.56,5.56,False
Apples,STORE_002,6.3,6.3,3.33,3.33,False
Apples,STORE_003,85.54,85.54,8485.13,8485.13,False
Apples,STORE_004,3.48,3.48,1.11,1.11,False
Apples,STORE_005,36.18,36.18,2357.79,2357.79,False
Apples,STORE_006,13.91,13.91,5.56,5.56,False
Apples,STORE_007,9.91,9.91,4.44,4.44,False
Apples,STORE_008,10.97,10.97,5.56,5.56,False
Apples,STORE_009,0.68,0.68,1.11,1.11,False
Apples,STORE_010,0.0,0.0,0.0,0.0,False
Apples,STORE_011,18.1,18.1,7.78,7.78,False
Apples,STORE_012,9.82,9.82,2.22,2.22,False
Apples,STORE_013,43.98,43.98,4118.15,4118.15,False
Apples,STORE_014,6.39,6.39,3.33,3.33,False
Apples,STORE_015,3.3,3.3,3.33,3.33,False
Apples,STORE_016,17.3,17.3,7.78,7.78,False
Apples,STORE_017,31.56,31.56,1629.08,1629.08,False
Apples,STORE_018,85.89,85.89,8485.25,8485.25,False
Apples,STORE_019,2.98,2.98,3.33,3.33,False
Apples,STORE_020,9.54,9.54,3.33,3.33,False
Apples,STORE_021,8.6,8.6,5.56,5.56,False
Apples,STORE_022,8.43,8.43,5.56,5.56,False
Apples,STORE_023,2.52,2.52,3.33,3.33,False
Apples,STORE_024,54.14,54.14,5095.43,5095.43,False
Apples,STORE_025,9.68,9.68,5.56,5.56,False
Apples,STORE_026,17.79,17.79,8.89,8.89,False
